Times,Freqs,Fluxes,FluxErrs
1.349580E+02,2.000000E+18,2.983140E-03,6.659860E-04
2.763420E+02,2.000000E+18,1.579921E-03,3.736306E-04
4.159860E+02,2.000000E+18,1.378732E-03,3.205975E-04
5.769670E+02,2.000000E+18,7.747836E-04,1.807035E-04
6.826280E+02,2.000000E+18,1.172077E-03,2.702640E-04
7.517620E+02,2.000000E+18,7.339891E-04,1.434494E-04
3.995091E+03,2.000000E+18,9.798119E-05,2.146397E-05
4.060917E+03,2.000000E+18,5.852336E-05,1.313939E-05
4.142315E+03,2.000000E+18,1.305809E-04,2.937709E-05
4.201628E+03,2.000000E+18,2.022459E-04,4.563907E-05
4.275249E+03,2.000000E+18,1.276581E-04,2.877812E-05
4.351823E+03,2.000000E+18,1.770931E-04,3.971977E-05
4.414238E+03,2.000000E+18,1.352975E-04,3.040724E-05
4.490445E+03,2.000000E+18,2.050211E-04,4.617107E-05
4.549784E+03,2.000000E+18,4.855777E-04,1.092416E-04
4.612045E+03,2.000000E+18,3.484419E-04,7.815115E-05
4.688275E+03,2.000000E+18,4.265568E-04,9.596348E-05
4.759484E+03,2.000000E+18,3.829764E-04,8.615910E-05
4.864036E+03,2.000000E+18,2.242280E-04,5.024056E-05
4.929134E+03,2.000000E+18,3.105037E-04,6.971285E-05
5.006183E+03,2.000000E+18,2.404545E-04,5.404061E-05
5.090812E+03,2.000000E+18,2.650380E-04,5.938445E-05
5.165703E+03,2.000000E+18,3.875057E-04,8.682460E-05
5.277766E+03,2.000000E+18,9.424030E-05,2.128812E-05
5.405707E+03,2.000000E+18,1.841006E-04,4.145973E-05
5.489865E+03,2.000000E+18,3.354973E-04,7.540086E-05
5.578699E+03,2.000000E+18,3.029559E-04,6.821622E-05
5.743947E+03,2.000000E+18,1.415359E-04,3.126932E-05
5.867393E+03,2.000000E+18,1.083151E-04,2.441759E-05
5.982885E+03,2.000000E+18,2.400753E-04,5.264232E-05
6.108500E+03,2.000000E+18,1.960345E-04,4.428260E-05
6.215889E+03,2.000000E+18,3.695678E-04,8.297364E-05
6.299640E+03,2.000000E+18,1.953685E-04,4.283927E-05
6.443332E+03,2.000000E+18,1.371573E-04,2.266003E-05
9.850325E+03,2.000000E+18,7.468294E-05,1.673778E-05
9.990117E+03,2.000000E+18,4.151942E-05,9.423668E-06
1.020386E+04,2.000000E+18,4.218524E-05,9.327085E-06
1.175750E+04,2.000000E+18,1.326364E-05,3.461883E-06
1.194978E+04,2.000000E+18,1.604639E-05,4.181204E-06
1.219078E+04,2.000000E+18,2.583938E-05,4.592733E-06
1.569803E+04,2.000000E+18,5.490187E-05,1.456708E-05
1.646101E+04,2.000000E+18,6.865839E-05,1.176732E-05
2.150746E+04,2.000000E+18,3.917504E-05,1.019362E-05
2.196713E+04,2.000000E+18,3.954921E-05,8.743968E-06
3.479898E+04,2.000000E+18,5.691297E-06,1.518936E-06
3.980113E+04,2.000000E+18,6.223391E-06,1.508536E-06
4.806352E+04,2.000000E+18,5.102014E-06,1.156943E-06
1.098122E+05,2.000000E+18,4.826298E-07,1.797085E-07
